25.0	30.0	10.0
30.0	20.0	10.0
20.0	25.0	0.0
30.0	25.0	10.0
20.0	30.0	0.0
20.0	15.0	0.0
15.0	20.0	5.0
15.0	20.0	10.0
25.0	15.0	0.0
10.0	5.0	20.0
15.0	20.0	5.0
10.0	25.0	5.0
30.0	20.0	5.0
10.0	8.0	5.0
30.0	25.0	10.0
30.0	25.0	0.0
30.0	20.0	10.0
25.0	30.0	10.0
0.0	35.0	20.0
20.0	0.0	10.0
30.0	20.0	10.0
0.0	20.0	0.0
30.0	20.0	0.0
30.0	20.0	10.0
20.0	15.0	5.0
80.0	60.0	30.0
30.0	40.0	0.0
20.0	35.0	0.0
20.0	15.0	25.0
10.0	15.0	5.0
25.0	20.0	0.0
10.0	15.0	5.0
15.0	10.0	0.0
10.0	0.0	0.0
30.0	40.0	10.0
20.0	15.0	0.0
30.0	10.0	20.0
20.0	10.0	0.0
10.0	5.0	15.0
0.0	20.0	10.0
12.0	15.0	5.0
40.0	35.0	10.0
30.0	25.0	0.0
20.0	15.0	10.0
0.0	12.0	5.0
10.0	5.0	0.0
20.0	15.0	5.0
30.0	20.0	10.0
10.0	0.0	5.0
20.0	30.0	10.0
30.0	40.0	5.0
30.0	25.0	0.0
0.0	20.0	5.0
20.0	15.0	0.0
30.0	20.0	10.0
20.0	30.0	10.0
20.0	15.0	0.0
25.0	20.0	10.0
25.0	15.0	0.0
20.0	15.0	10.0
0.0	20.0	10.0
5.0	20.0	10.0
25.0	30.0	5.0
30.0	10.0	0.0
30.0	15.0	0.0
25.0	30.0	10.0
20.0	0.0	0.0
0.0	20.0	5.0
10.0	20.0	0.0
10.0	8.0	0.0
30.0	20.0	5.0
0.0	30.0	10.0
30.0	20.0	0.0
0.0	40.0	10.0
20.0	15.0	0.0
30.0	20.0	0.0
25.0	30.0	15.0
10.0	30.0	20.0
25.0	20.0	5.0
25.0	10.0	30.0
25.0	20.0	0.0
20.0	15.0	10.0
30.0	20.0	10.0
20.0	30.0	0.0
25.0	20.0	10.0
60.0	0.0	30.0
15.0	20.0	5.0
10.0	20.0	5.0
55.0	30.0	10.0
30.0	20.0	10.0
30.0	20.0	10.0
20.0	15.0	0.0
30.0	40.0	20.0
20.0	10.0	0.0
20.0	30.0	10.0
20.0	15.0	5.0
30.0	20.0	0.0
20.0	30.0	10.0
30.0	40.0	0.0
30.0	40.0	10.0
